model_name,input_token_price,output_token_price,icon
claude-3-5-sonnet-20241022,3.0,15.0,ri:claude-fill
claude-3-7-sonnet-20250219,3.0,15.0,ri:claude-fill
claude-3-7-sonnet-20250219[thinking=16k],3.0,15.0,ri:claude-fill
command-a-03-2025,2.5,10.0,
deepseek-chat-v3-0324,1.5,1.5,arcticons:deepseek
deepseek-r1,3.0,7.0,arcticons:deepseek
gemini-1.5-pro-002,1.25,5.0,ri:gemini-fill
gemini-2.0-flash-001,0.1,0.4,ri:gemini-fill
gemini-2.0-flash-lite-001,0.1,0.4,ri:gemini-fill
gemini-2.0-flash-thinking-exp-01-21,0.0,0.0,ri:gemini-fill
gemini-2.5-flash-preview-04-17,0.15,3.5,ri:gemini-fill
gemini-2.5-pro-preview-03-25,1.25,10.0,ri:gemini-fill
gemini-2.5-flash-preview-04-17[no-thinking],0.15,0.6,ri:gemini-fill
gemma-3-27b-it,0.1,0.2,ri:gemini-line
gpt-4.1-2025-04-14,2.0,8.0,ri:openai-fill
gpt-4.1-mini-2025-04-14,0.4,1.6,ri:openai-fill
gpt-4.1-nano-2025-04-14,0.1,0.4,ri:openai-fill
gpt-4.5-preview-2025-02-27,75.0,150.0,ri:openai-fill
gpt-4o-2024-08-06,2.5,10.0,ri:openai-fill
gpt-4o-mini-2024-07-18,0.15,0.6,ri:openai-fill
grok-3-beta,3.0,15.0,ri:twitter-x-line
grok-3-mini-beta,0.3,0.5,ri:twitter-x-line
llama-4-maverick,0.18,0.6,ri:meta-fill
llama-4-scout,0.18,0.6,ri:meta-fill
llama-3.3-70b-instruct,0.1,0.25,ri:meta-fill
mistral-large-2411,2.0,6.0,
o1-2024-12-17,15.0,60.0,ri:openai-fill
o3-2025-04-16[high],10.0,40.0,ri:openai-fill
o3-2025-04-16[medium],10.0,40.0,ri:openai-fill
o3-2025-04-16[low],10.0,40.0,ri:openai-fill
o3-mini-2025-01-31[low],1.1,4.4,ri:openai-fill
o3-mini-2025-01-31[medium],1.1,4.4,ri:openai-fill
o3-mini-2025-01-31[high],1.1,4.4,ri:openai-fill
o4-mini-2025-04-16[low],1.1,4.4,ri:openai-fill
o4-mini-2025-04-16[medium],1.1,4.4,ri:openai-fill
o4-mini-2025-04-16[high],1.1,4.4,ri:openai-fill
phi-4,0.07,0.14,ri:microsoft-fill
qwen-max-2025-01-25,1.6,6.4,ri:alibaba-cloud-fill
qwq-32b,1.2,1.2,ri:alibaba-cloud-fill
typhoon-v2-70b-instruct,0.9,0.9,
typhoon-v2-r1-70b-preview,0.9,0.9,
